ID,NOM,SMART,TEST,TYPE,CAPACITE,DISPONIBLE,ENFANTS,PARTITION,URL_QR
DSK-26-001,APPLE SSD SM0128G Media,Sain,Passé,SSD NVMe,121 Go,98 Go,2,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-001
DSK-26-002,APPLE HDD ST2000LM007,Sain,Passé,HDD 5400rpm,2 To,1.4 To,3,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-002
DSK-26-003,SAMSUNG 870 EVO 500 Go,Sain,En cours,SSD SATA,500 Go,312 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-003
DSK-26-004,WD BLUE WD10EZEX 1 To,Prudence,En attente,HDD 5400rpm,1 To,780 Go,1,MBR,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-004
DSK-26-005,SEAGATE BARRACUDA ST2000DM008,Sain,Passé,HDD 7200rpm,2 To,950 Go,2,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-005
DSK-26-006,CRUCIAL MX500 CT1000MX500SSD1,Sain,Passé,SSD SATA,1 To,640 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-006
DSK-26-007,WD BLACK WD4004FZWX 4 To,Sain,En attente,HDD 7200rpm,4 To,2.8 To,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-007
DSK-26-008,SEAGATE IRONWOLF ST4000VN008,Sain,En attente,HDD 7200rpm,4 To,3.2 To,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-008
DSK-26-009,SAMSUNG 860 PRO MZ-76P256,Sain,Passé,SSD SATA,256 Go,180 Go,2,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-009
DSK-26-010,TOSHIBA MQ04ABF100 1 To,Prudence,Échec,HDD 5400rpm,1 To,600 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-010
DSK-26-011,WD RED WD20EFAX 2 To,Sain,Passé,HDD 5400rpm,2 To,1.1 To,2,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-011
DSK-26-012,SAMSUNG 970 EVO MZ-V7E1T0,Sain,Passé,SSD NVMe,1 To,820 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-012
DSK-26-013,SEAGATE EXPANSION STEA2000400,Sain,En attente,HDD 5400rpm,2 To,1.8 To,1,MBR,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-013
DSK-26-014,WD ELEMENTS WDBU6Y0010BBK,Sain,En attente,HDD 5400rpm,1 To,500 Go,1,MBR,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-014
DSK-26-015,APPLE SSD AP0256M,Sain,Passé,SSD NVMe,256 Go,210 Go,3,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-015
DSK-26-016,CRUCIAL BX500 CT480BX500SSD1,Sain,En cours,SSD SATA,480 Go,320 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-016
DSK-26-017,SEAGATE ST3500418AS 500 Go,Défaillant,Échec,HDD 7200rpm,500 Go,120 Go,2,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-017
DSK-26-018,WD BLUE SSD WDS250G2B0A,Sain,Passé,SSD SATA,250 Go,200 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-018
DSK-26-019,HITACHI HTS721010A9E630 1 To,Prudence,En cours,HDD 7200rpm,1 To,450 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-019
DSK-26-020,SAMSUNG 850 EVO MZ-75E500,Sain,Passé,SSD SATA,500 Go,380 Go,2,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-020
DSK-26-021,WD RED PLUS WD40EFZX 4 To,Sain,En attente,HDD 7200rpm,4 To,3.6 To,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-021
DSK-26-022,SEAGATE BACKUP PLUS STDR4000200,Sain,En attente,HDD 5400rpm,4 To,3.1 To,1,MBR,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-022
DSK-26-023,SAMSUNG 980 PRO MZ-V8P2T0,Sain,Passé,SSD NVMe,2 To,1.7 To,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-023
DSK-26-024,TOSHIBA CANVIO HDTB410EK3AA,Sain,En attente,HDD 5400rpm,1 To,800 Go,1,MBR,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-024
DSK-26-025,INTEL 545S SERIES SSDSC2KW512,Sain,Passé,SSD SATA,512 Go,400 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-025
DSK-26-026,WD BLUE WD5000AAKX 500 Go,Prudence,En cours,HDD 5400rpm,500 Go,280 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-026
DSK-26-027,CORSAIR MP600 PRO CSSD-F1000,Sain,En attente,SSD NVMe,1 To,900 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-027
DSK-26-028,SEAGATE FIRECUDA ST2000LX001,Sain,Passé,HDD 7200rpm,2 To,1.5 To,2,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-028
DSK-26-029,WD BLACK SN850 WDS100T1X0E,Sain,En attente,SSD NVMe,1 To,850 Go,1,GUID,https://oast.github.io/kryptonite/HDD-Inventory/?id=DSK-26-029
